Date,Replicating_Portfolio
2021-12-31,128.3331914381975
2022-01-03,129.32210641077265
2022-01-04,130.40822127459688
2022-01-05,130.3632539593517
2022-01-06,130.42200417291073
2022-01-07,132.0537819965037
2022-01-10,131.61753307477156
2022-01-11,130.64636683468163
2022-01-12,130.05476601398374
2022-01-13,129.44409386951196
2022-01-14,126.66899564352667
2022-01-18,124.80954316684928
2022-01-19,124.01061125851145
2022-01-20,123.00272326330291
2022-01-21,122.22782140154895
2022-01-24,121.15788793562207
2022-01-25,124.05903846508419
2022-01-26,124.77540550685725
2022-01-27,125.41346351713824
2022-01-28,126.35670943622989
2022-01-31,127.06779116687534
2022-02-01,126.85501426837573
2022-02-02,127.6251742181332
2022-02-03,127.34737000400413
2022-02-04,127.57575001340706
2022-02-07,127.37534404191155
2022-02-08,128.25447512776
2022-02-09,128.3862739796326
2022-02-10,127.10895248861983
2022-02-11,125.72587126946165
2022-02-14,124.25531337501413
2022-02-15,125.68230851517227
2022-02-16,125.68899640754339
2022-02-17,124.34589238987023
2022-02-18,123.52546742099679
2022-02-22,122.24157964364635
2022-02-23,121.5873007349805
2022-02-24,118.97909073989838
2022-02-25,124.06592524800112
2022-02-28,121.92207061720559
2022-03-01,120.43267296399804
2022-03-02,122.17949666451062
2022-03-03,123.30803998295698
2022-03-04,123.00533440483467
2022-03-07,123.37146034428116
2022-03-08,121.24644010060656
2022-03-09,122.72831678260775
2022-03-10,122.54682110750173
2022-03-11,121.72353802582256
2022-03-14,123.29543049645392
2022-03-15,126.25747916445475
2022-03-16,126.6639809445056
2022-03-17,128.30600471752015
2022-03-18,127.21386466428896
2022-03-21,127.6611389796738
2022-03-22,127.85555175668328
2022-03-23,126.86775783817966
2022-03-24,127.56409779112309
2022-03-25,128.76091368736994
2022-03-28,129.0323150978507
2022-03-29,129.05075723628528
2022-03-30,129.93068037869068
2022-03-31,127.70206549997913
2022-04-01,128.00979054253716
2022-04-04,127.19278993354939
2022-04-05,127.47428543174878
2022-04-06,129.61347062234034
2022-04-07,129.26567612672386
2022-04-08,129.9952665840188
2022-04-11,128.62918105944473
2022-04-12,128.33924639993802
2022-04-13,127.82040522761837
2022-04-14,127.14009311479404
2022-04-18,126.42218334119869
2022-04-19,130.00048288445618
2022-04-20,130.54907358744254
2022-04-21,130.03102213069567
2022-04-22,128.1974114312287
2022-04-25,130.65429995359779
2022-04-26,129.0909672027393
2022-04-27,127.31380836197827
2022-04-28,128.48880922161393
2022-04-29,125.95339446816234
2022-05-02,125.19058184932852
2022-05-03,125.56832506958327
2022-05-04,127.52242067169101
2022-05-05,124.92126400803795
2022-05-06,124.66187968398893
2022-05-09,124.77991890734052
2022-05-10,123.99042857366831
2022-05-11,123.29493937418641
2022-05-12,124.23264568815075
2022-05-13,123.90231609666895
2022-05-16,124.39715153269864
2022-05-17,125.67265473974325
2022-05-18,123.3788560996306
2022-05-19,122.12451191397511
2022-05-20,123.58681932852737
2022-05-23,127.18611621846973
2022-05-24,128.66362555266133
2022-05-25,127.87013816921994
2022-05-26,128.26806336963747
2022-05-27,129.57785217652042
2022-05-31,128.9241889367776
2022-06-01,127.40051253830283
2022-06-02,127.55200407419936
2022-06-03,126.73964238569975
2022-06-06,126.63340453762
2022-06-07,127.7856592554171
2022-06-08,126.73920310333092
2022-06-09,124.16210801718113
2022-06-10,122.2437283123432
2022-06-13,120.4901009784345
2022-06-14,118.60858060599197
2022-06-15,119.9065679585877
2022-06-16,119.51843177575056
2022-06-17,119.08575692772007
2022-06-21,121.6760675244855
2022-06-22,123.04788668844827
2022-06-23,124.9453378865851
2022-06-24,127.15766595816797
2022-06-27,126.85529501657493
2022-06-28,123.85565493977987
2022-06-29,123.76837559231909
2022-06-30,123.46191322014013
2022-07-01,124.89638043683647
2022-07-05,124.03426736668096
2022-07-06,123.96016726916697
2022-07-07,124.70286064857471
2022-07-08,124.5003770535642
2022-07-11,124.20444764399697
2022-07-12,122.84108234475829
2022-07-13,122.37686094402584
2022-07-14,121.63735454571179
2022-07-15,124.15790086520424
2022-07-18,121.67834170957997
2022-07-19,120.88646532177049
2022-07-20,120.33795840704467
2022-07-21,120.8451502640544
2022-07-22,121.1698332269961
2022-07-25,121.46126530204984
2022-07-26,121.73678846141537
2022-07-27,121.87655798149953
2022-07-28,122.3357188051263
2022-07-29,122.63614777196128
2022-08-01,122.04081606197873
2022-08-02,121.09389202145321
2022-08-03,122.2843919013171
2022-08-04,120.45093357338041
2022-08-05,120.83232324367457
2022-08-08,120.01242224680468
2022-08-09,120.23120286986142
2022-08-10,121.17508145258125
2022-08-11,119.60595460518486
2022-08-12,119.02862524723977
2022-08-15,119.5408547612619
2022-08-16,120.62365790296444
2022-08-17,120.39706798908608
2022-08-18,119.73533913692164
2022-08-19,120.47362836065427
2022-08-22,119.70640840872642
2022-08-23,118.63372246749073
2022-08-24,118.38881952615633
2022-08-25,119.86892021927721
2022-08-26,117.40445827405051
2022-08-29,116.6321569294977
2022-08-30,116.31806567286559
2022-08-31,115.55707800149307
2022-09-01,117.96676034729526
2022-09-02,116.33505357787843
2022-09-06,116.58767597452668
2022-09-07,117.56724528861838
2022-09-08,118.9076074558302
2022-09-09,119.2136849355359
2022-09-12,119.48926535685976
2022-09-13,116.1452214391342
2022-09-14,117.94609902186666
2022-09-15,118.57140444178624
2022-09-16,119.80350816566259
2022-09-19,119.30681797657815
2022-09-20,118.05461039750232
2022-09-21,116.3645731154285
2022-09-22,117.69965407001112
2022-09-23,117.53943552884043
2022-09-26,116.44481524311175
2022-09-27,115.81026406051706
2022-09-28,117.08155740295457
2022-09-29,115.650310934338
2022-09-30,114.62588477634189
2022-10-03,115.25740956028507
2022-10-04,117.73486039366054
2022-10-05,117.13906344576135
2022-10-06,114.84391279939399
2022-10-07,113.401761744662
2022-10-10,113.29618505923739
2022-10-11,113.91045212431767
2022-10-12,114.25967677284336
2022-10-13,116.93171009741096
2022-10-14,116.95595827850538
2022-10-17,119.19807224136797
2022-10-18,119.54501177322368
2022-10-19,118.28255323451384
2022-10-20,118.4317111827639
2022-10-21,121.81746699309747
2022-10-24,123.11993192708466
2022-10-25,123.04108809129208
2022-10-26,124.1969966561442
2022-10-27,124.36320166080596
2022-10-28,126.12728602912044
2022-10-31,125.57923609866045
2022-11-01,125.59860702291147
2022-11-02,123.84621135995367
2022-11-03,124.06009699387779
2022-11-04,125.26853595874076
2022-11-07,126.26226059526496
2022-11-08,126.7609306475125
2022-11-09,125.59898359349701
2022-11-10,127.93051033056285
2022-11-11,125.06263628557596
2022-11-14,126.23626325123985
2022-11-15,126.28609258649207
2022-11-16,126.92464140748987
2022-11-17,127.57649175207506
2022-11-18,128.6181525937674
2022-11-21,128.94651284702013
2022-11-22,129.87279009765294
2022-11-23,130.30395683623607
2022-11-25,130.49188444148785
2022-11-28,130.0042663412574
2022-11-29,129.8044707411753
2022-11-30,131.2436715748563
2022-12-01,131.2230345905899
2022-12-02,131.05855500472768
2022-12-05,130.14880339058013
2022-12-06,128.69086147672834
2022-12-07,129.27244798060556
2022-12-08,129.60011755144671
2022-12-09,128.61672087727555
2022-12-12,130.2596260989689
2022-12-13,131.00097925900783
2022-12-14,131.15945308536655
2022-12-15,129.13718757449683
2022-12-16,127.93100548617168
2022-12-19,127.99752944793507
2022-12-20,128.24628913224913
2022-12-21,129.7079662076702
2022-12-22,129.00453709023978
2022-12-23,129.3972874267529
2022-12-27,129.4727569196929
2022-12-28,129.20176890093057
2022-12-29,129.8791658488189
2022-12-30,129.56549695653368
2023-01-03,130.6614164247164
2023-01-04,132.03643000670314
2023-01-05,131.28152021918703
2023-01-06,132.6847279736291
2023-01-09,129.92850568550674
2023-01-10,129.97129544248014
2023-01-11,130.04748280054923
2023-01-12,129.52071820387977
2023-01-13,129.99863996511905
2023-01-17,128.8953725267486
2023-01-18,126.4732527589678
2023-01-19,125.93097966581786
2023-01-20,125.56148282156727
2023-01-23,125.81642927477027
2023-01-24,126.08414141097846
2023-01-25,126.9111303340424
2023-01-26,126.75747704508042
2023-01-27,126.46334795393722
2023-01-30,122.68899469949638
2023-01-31,123.67605773205585
2023-02-01,124.4358690111062
2023-02-02,124.63716708225667
2023-02-03,124.60178659964754
2023-02-06,124.08695866700245
2023-02-07,124.50193155810905
2023-02-08,124.3909580971244
2023-02-09,122.64416510372769
2023-02-10,123.20668474219188
2023-02-13,123.89131865824454
2023-02-14,123.63483670171215
2023-02-15,122.26907977819334
2023-02-16,121.18426903560307
2023-02-17,123.13782495732406
2023-02-21,121.19166235201567
2023-02-22,120.82428128995983
2023-02-23,121.04775971908573
2023-02-24,120.3364973526136
2023-02-27,120.42290549707748
2023-02-28,119.35014623404052
2023-03-01,118.77776674135991
2023-03-02,118.37398654790134
2023-03-03,119.85105769060189
2023-03-06,120.53298320013181
2023-03-07,118.74733126815725
2023-03-08,117.92109199917213
2023-03-09,115.25422126637824
2023-03-10,116.2147528880346
2023-03-13,116.49178698989101
2023-03-14,117.74355435574789
2023-03-15,116.54429939872358
2023-03-16,116.92790113121423
2023-03-17,114.87240812009131
2023-03-20,116.02960994695543
2023-03-21,116.80321252290221
2023-03-22,114.42969819284895
2023-03-23,114.39786803201028
2023-03-24,114.82117433891712
2023-03-27,116.00161432296485
2023-03-28,115.25159675607068
2023-03-29,116.15473650290637
2023-03-30,116.13425039988905
